customer_id,senior_citizen,partner,tenure_months,contract,internet_service,payment_method,paperless_billing,monthly_charges,total_charges,support_calls,churn
C100000,0,Yes,53,One year,No,Mailed check,Yes,129.98,6866.67,1,No
C100001,0,Yes,63,Month-to-month,DSL,Electronic check,No,94.07,5959.01,1,Yes
C100002,0,No,10,Two year,Fiber optic,Mailed check,No,47.51,488.34,1,Yes
C100003,0,No,17,One year,DSL,Electronic check,Yes,28.0,447.7,4,No
C100004,0,No,2,Month-to-month,Fiber optic,Electronic check,Yes,87.01,160.79,3,Yes
C100005,0,No,35,Two year,DSL,Mailed check,Yes,68.32,2377.54,0,No
C100006,1,Yes,36,One year,DSL,Bank transfer,Yes,27.13,980.68,1,No
C100007,0,No,2,One year,Fiber optic,Credit card,Yes,82.86,160.62,1,No
C100008,0,No,48,Month-to-month,Fiber optic,Bank transfer,Yes,61.93,2944.0,3,Yes
C100009,0,No,0,Month-to-month,DSL,Credit card,No,85.92,,1,Yes
C100010,0,No,57,Month-to-month,Fiber optic,Bank transfer,Yes,83.25,4758.98,0,No
C100011,0,Yes,51,Two year,No,Bank transfer,Yes,51.75,2646.41,1,No
C100012,0,No,59,One year,DSL,Electronic check,Yes,88.99,5253.05,0,No
C100013,0,Yes,8,Two year,DSL,Bank transfer,No,55.06,447.25,3,No
C100014,0,No,63,Month-to-month,Fiber optic,Electronic check,Yes,57.01,3576.16,2,Yes
C100015,1,No,39,Month-to-month,DSL,Electronic check,No,54.03,2111.77,2,Yes
C100016,1,No,63,One year,No,Electronic check,No,103.93,6611.05,0,No
C100017,0,Yes,50,Month-to-month,Fiber optic,Credit card,No,61.58,3108.36,4,No
C100018,0,No,47,Two year,Fiber optic,Bank transfer,Yes,111.17,5217.78,0,No
C100019,0,Yes,2,One year,Fiber optic,Credit card,No,123.5,233.92,1,No
C100020,1,No,50,One year,Fiber optic,Credit card,No,47.84,2320.49,0,No
C100021,0,Yes,32,Month-to-month,DSL,Credit card,No,18.0,602.72,1,No
C100022,0,Yes,61,Two year,DSL,Electronic check,Yes,101.34,6201.41,0,No
C100023,1,Yes,49,Two year,DSL,Credit card,Yes,59.74,2913.66,1,No
C100024,0,No,5,One year,Fiber optic,Credit card,Yes,44.01,184.26,1,Yes
C100025,0,No,64,Month-to-month,Fiber optic,Credit card,Yes,52.34,3320.88,1,No
C100026,0,Yes,4,Month-to-month,Fiber optic,Electronic check,Yes,57.56,241.35,1,Yes
C100027,0,Yes,21,Month-to-month,No,Electronic check,Yes,108.92,2285.09,1,Yes
C100028,0,No,15,Month-to-month,DSL,Credit card,No,74.8,1139.29,0,No
C100029,0,No,71,One year,Fiber optic,Electronic check,Yes,108.51,7706.37,1,Yes
C100030,0,No,11,One year,No,Mailed check,Yes,84.83,957.3,3,Yes
C100031,1,No,61,Two year,Fiber optic,Mailed check,Yes,60.72,3713.16,0,No
C100032,0,No,16,Month-to-month,Fiber optic,Electronic check,Yes,58.29,953.36,0,Yes
C100033,0,No,47,Month-to-month,Fiber optic,Electronic check,No,86.85,4029.71,3,No
C100034,0,No,6,Month-to-month,No,Credit card,Yes,94.61,536.8,1,Yes
C100035,0,Yes,28,Month-to-month,DSL,Credit card,Yes,99.9,2788.09,0,No
C100036,0,Yes,45,Month-to-month,DSL,Credit card,Yes,62.15,2823.74,0,No
C100037,0,Yes,51,Month-to-month,Fiber optic,Electronic check,Yes,75.26,3885.27,2,No
C100038,0,No,63,Month-to-month,Fiber optic,Electronic check,No,87.52,5509.65,1,No
C100039,1,Yes,59,One year,DSL,Mailed check,Yes,58.48,3435.03,0,No
C100040,0,No,37,Month-to-month,Fiber optic,Mailed check,Yes,35.95,1281.28,0,No
C100041,0,Yes,22,Two year,No,Electronic check,Yes,45.81,1029.41,0,No
C100042,0,No,19,One year,DSL,Bank transfer,No,62.77,1178.88,1,No
C100043,0,No,72,Month-to-month,DSL,Credit card,No,89.87,6544.6,3,Yes
C100044,1,Yes,44,Two year,DSL,Mailed check,Yes,107.77,4723.39,1,No
C100045,0,No,66,Two year,No,Mailed check,No,29.32,1987.75,0,No
C100046,0,Yes,31,Month-to-month,DSL,Mailed check,No,52.08,1633.19,1,No
C100047,0,Yes,35,Month-to-month,DSL,Electronic check,No,59.26,2048.39,2,No
C100048,0,No,60,One year,No,Electronic check,Yes,93.84,5636.2,1,No
C100049,0,No,52,Month-to-month,Fiber optic,Mailed check,Yes,54.16,2835.6,2,Yes
C100050,0,Yes,14,Month-to-month,No,Mailed check,Yes,57.11,793.91,1,Yes
C100051,0,Yes,38,Month-to-month,Fiber optic,Mailed check,Yes,27.64,1071.27,1,No
C100052,0,Yes,15,One year,DSL,Credit card,No,84.5,1287.9,1,Yes
C100053,0,No,55,One year,No,Electronic check,No,65.16,3598.71,1,No
C100054,0,Yes,2,One year,DSL,Electronic check,No,50.38,100.35,2,Yes
C100055,0,No,60,One year,DSL,Electronic check,Yes,62.21,3703.23,0,No
C100056,0,No,67,Month-to-month,DSL,Electronic check,Yes,103.81,6953.35,3,Yes
C100057,0,Yes,1,One year,Fiber optic,Bank transfer,No,39.85,44.25,3,Yes
C100058,0,No,46,Month-to-month,Fiber optic,Credit card,No,44.75,2011.6,0,Yes
C100059,0,No,5,Month-to-month,Fiber optic,Credit card,Yes,107.57,542.08,4,Yes
C100060,0,No,26,One year,DSL,Bank transfer,Yes,72.27,1876.6,4,Yes
C100061,0,Yes,24,Month-to-month,DSL,Mailed check,Yes,90.09,2129.74,0,No
C100062,0,Yes,37,One year,Fiber optic,Electronic check,Yes,82.05,3027.52,2,No
C100063,0,Yes,66,One year,No,Mailed check,No,68.94,4542.24,2,No
C100064,0,No,33,One year,Fiber optic,Electronic check,Yes,59.55,2013.4,4,Yes
C100065,0,No,29,One year,DSL,Credit card,No,94.95,2759.05,0,No
C100066,0,Yes,6,One year,Fiber optic,Mailed check,Yes,104.87,655.12,2,Yes
C100067,0,No,64,Month-to-month,Fiber optic,Electronic check,No,102.53,6558.97,1,Yes
C100068,0,No,22,Month-to-month,DSL,Electronic check,Yes,34.44,710.83,0,Yes
C100069,0,No,33,Month-to-month,DSL,Electronic check,Yes,109.15,3618.76,2,No
C100070,0,Yes,6,Month-to-month,Fiber optic,Credit card,Yes,59.26,339.11,0,Yes
C100071,1,Yes,21,Month-to-month,No,Electronic check,No,47.35,985.96,2,Yes
C100072,0,No,40,Two year,No,Electronic check,Yes,64.92,2570.48,2,No
C100073,1,No,65,Month-to-month,DSL,Electronic check,No,94.93,6172.27,2,Yes
C100074,0,Yes,24,Month-to-month,No,Credit card,Yes,86.21,2095.67,0,Yes
C100075,0,Yes,40,Month-to-month,No,Mailed check,No,62.34,2516.92,0,No
C100076,0,No,63,Month-to-month,Fiber optic,Bank transfer,Yes,95.13,6032.84,5,Yes
C100077,0,No,26,One year,DSL,Mailed check,No,74.2,1972.4,0,No
C100078,0,Yes,21,One year,DSL,Electronic check,No,52.81,1057.86,2,No
C100079,0,Yes,3,One year,Fiber optic,Credit card,Yes,48.76,116.44,1,No
C100080,1,Yes,66,One year,Fiber optic,Electronic check,Yes,82.31,5387.26,1,No
C100081,0,Yes,8,Month-to-month,Fiber optic,Electronic check,No,67.52,555.96,2,Yes
C100082,1,Yes,15,Two year,DSL,Bank transfer,No,28.73,413.62,1,Yes
C100083,1,No,10,Month-to-month,No,Electronic check,No,95.41,941.87,1,No
C100084,0,No,51,Month-to-month,DSL,Electronic check,No,55.59,2829.68,2,Yes
C100085,0,No,26,Month-to-month,Fiber optic,Credit card,Yes,117.76,3071.32,0,Yes
C100086,0,Yes,51,One year,Fiber optic,Mailed check,Yes,27.91,1386.28,3,No
C100087,1,No,44,Month-to-month,DSL,Electronic check,Yes,64.58,2810.05,1,No
C100088,0,No,1,Month-to-month,DSL,Mailed check,Yes,49.0,49.03,0,Yes
